aaa,9956997,9517,83,140
aab,9969196,9466,180,325
aac,9725946,10019,194,568
aad,9898138,8179,179,283
aae,9542198,8510,6,14
aaf,9565673,8171,64,158
aag,9899630,7803,245,667
aba,9911008,9574,129,316
abb,9889369,9176,125,240
abc,9886438,8457,5,8
abd,9698913,9540,22,50
abe,9790624,9570,152,215
abf,9814877,10549,198,310
abg,9974988,7743,7,22
aca,9349378,8510,5,5
acb,9535027,10200,184,402
acc,9912419,9760,18,73
acd,9557834,9460,76,168
ace,9920169,8790,162,280
acf,9797869,9896,6,18
acg,9818676,9518,53,190
ada,9908132,8735,63,205
adb,9927103,8341,138,252
adc,9840118,9762,133,234
add,9793281,8988,54,136
ade,9714123,9908,135,284
adf,9705555,9094,163,224
adg,9924351,9852,61,207
aea,9828644,10433,70,180
aeb,9897152,10021,16,62
aec,9800671,10874,196,382
aed,9594666,9726,232,437
aee,9880222,8386,15,35
aef,9874072,9896,18,116
aeg,9761249,9541,173,299
afa,9199663,10971,173,370
afb,9943726,7917,65,103
afc,9920321,8319,105,277
afd,9860004,8570,43,56
afe,9646874,9025,110,181
aff,9936595,9053,184,365
afg,9920312,8083,121,236
aga,9270457,7004,7,22
agb,9817549,10286,99,202
agc,9989156,9218,57,140
agd,9946086,8530,80,126
age,9950964,9339,118,285
agf,9550258,8934,6,16
agg,9913256,9400,199,328
baa,9812842,9876,25,73
bab,9984564,9636,88,165
bac,9814932,8449,257,369
bad,9943439,9718,111,234
bae,9953992,7557,94,167
baf,9799555,8982,213,376
bag,9909859,8214,21,64
bba,9921617,10232,56,182
bbb,9892164,9069,59,150
bbc,9636192,9288,232,384
bbd,9955688,9127,182,330
bbe,9913064,9014,132,258
bbf,9914530,8664,74,137
bbg,9647922,8713,81,147
bca,9857756,8340,133,217
bcb,9787767,11526,73,146
bcc,9556836,9438,54,124
bcd,9935219,9141,82,118
bce,9823841,9028,139,236
bcf,9937096,9447,51,90
bcg,9982692,9255,13,28
bda,9944902,8539,6,19
bdb,9982490,10303,45,116
bdc,9653263,8371,52,102
bdd,9733065,9238,203,268
bde,9998013,8948,37,78
bdf,9868300,8630,296,424
bdg,9981250,9566,133,259
bea,9855832,9621,53,124
beb,9569925,9159,87,220
bec,9879159,11454,161,238
bed,9886947,7574,59,166
bee,9973355,9314,13,45
bef,9965307,9426,98,164
beg,9745578,8315,135,235
bfa,9083721,10097,53,273
bfb,9724474,7686,97,169
bfc,9994055,9281,133,381
bfd,9944853,9346,173,299
bfe,9948442,9244,241,384
bff,9914066,7785,34,102
bfg,9925188,9348,117,266
bga,9858771,8269,42,115
bgb,9969125,9079,57,99
bgc,9931239,7502,6,21
bgd,9998546,6639,59,85
bge,9934622,9230,117,292
bgf,9485403,7263,36,80
bgg,9973659,8717,7,24
caa,9929112,8172,49,121
cab,9704634,7070,108,228
cac,9527054,8675,277,566
cad,9726157,9401,129,286
cae,9805305,9237,28,76
caf,9864836,10115,208,370
cag,9824374,8527,5,6
cba,9841041,9117,90,156
cbb,9962515,8679,35,84
cbc,9772916,8266,64,135
cbd,9635387,10196,107,194
cbe,9909082,9348,100,204
cbf,9812782,9632,266,500
cbg,9825779,9275,20,65
cca,9615699,9305,163,335
ccb,9892249,8416,310,450
ccc,9818508,8614,15,61
ccd,9991510,7675,188,353
cce,9877657,9912,142,231
ccf,9770455,7602,16,37
ccg,9640236,8017,48,116
cda,9645084,9338,6,18
cdb,9944721,9561,23,62
cdc,9951009,9446,76,105
cdd,9970594,8108,125,244
cde,9834848,8826,114,307
cdf,9938302,7458,104,180
cdg,9881460,9171,402,675
cea,9861260,9024,64,116
ceb,9857770,8197,208,302
cec,9875966,8333,182,351
ced,9876094,8827,454,733
cee,9287946,9777,643,1541
cef,9993025,9558,18,53
ceg,9620514,9842,13,54
cfa,9424209,10407,49,123
cfb,9971897,9285,91,170
cfc,9899085,7724,85,147
cfd,9547965,9056,208,436
cfe,9997348,9323,117,197
cff,9745898,8756,108,255
cfg,9968130,9529,112,202
cga,9555569,9938,133,406
cgb,9737438,8847,451,853
cgc,9773619,9120,81,173
cgd,9585120,8442,184,343
cge,9951269,9099,47,83
cgf,9678654,9239,29,107
cgg,9663024,8178,317,730
daa,9956370,9082,308,442
dab,9916201,9673,143,345
dac,9864707,8882,308,527
dad,9760565,8133,16,44
dae,9948649,8795,119,363
daf,9835886,8072,47,120
dag,9940990,8927,141,271
dba,9906300,9071,73,143
dbb,9739957,8346,12,32
dbc,9469068,8326,71,135
dbd,9994467,10324,223,350
dbe,9825546,9685,34,112
dbf,9998316,7320,67,171
dbg,9931570,8633,222,419
dca,9942496,9851,149,267
dcb,9943484,8044,116,211
dcc,9992247,9709,145,357
dcd,9914209,8398,113,159
dce,9737527,8957,103,250
dcf,9980889,7967,66,171
dcg,9804305,10447,84,126
dda,9792694,7408,216,412
ddb,9858227,10005,52,142
ddc,9913931,7479,157,310
ddd,9235541,9259,20,62
dde,9634420,8746,75,157
ddf,9869203,7935,398,608
ddg,9607115,8512,116,160
dea,9732649,9555,41,82
deb,9927087,9288,130,251
dec,9986163,9070,211,336
ded,9961009,7973,74,161
dee,9957145,7115,330,461
def,9831736,8080,200,417
deg,9637834,8633,226,494
dfa,9982621,8292,291,402
dfb,9385794,11531,143,273
dfc,9673883,9094,19,72
dfd,9862256,9090,630,1154
dfe,9828872,10879,108,216
dff,9833815,7943,131,251
dfg,9876929,6977,67,203
dga,9007499,7750,233,359
dgb,9866902,11400,54,164
dgc,9951715,9094,99,187
dgd,9907800,7675,145,237
dge,9855615,8037,99,174
dgf,9875126,9318,245,360
dgg,9599137,8755,62,144
eaa,9814533,9389,74,203
eab,9957934,10447,79,292
eac,9579073,8897,205,334
ead,9995649,11394,154,302
eae,9881960,7129,27,49
eaf,9938757,9767,69,169
eag,9790364,8433,164,270
eba,9951902,7576,11,37
ebb,9992355,8769,122,233
ebc,9842128,8164,102,216
ebd,9961124,10766,44,153
ebe,9951717,8872,229,353
ebf,9744434,10628,113,282
ebg,9852945,6518,172,257
eca,9519331,10108,55,101
ecb,9705335,9290,110,201
ecc,9798826,7175,114,224
ecd,9860502,10932,190,385
ece,9784338,8906,145,262
ecf,9956873,9826,315,446
ecg,9868223,9863,183,268
eda,9860033,9226,153,210
edb,9678639,9460,51,144
edc,9917901,8689,61,149
edd,9344237,7693,244,373
ede,9841782,7978,26,47
edf,9834527,8606,21,64
edg,8983314,9793,92,153
eea,9981779,10095,115,305
eeb,9564086,9505,202,296
eec,9942690,9698,149,275
eed,9911028,8318,23,101
eee,9756807,9217,84,177
eef,9944893,7867,213,354
eeg,9951171,8206,37,119
